Artist Name,,Medium
Alberto Giacometti,",",sculptor
Alberto Giacometti,",",painter
Alberto Giacometti,",",printmaker
Alberto Giacometti,",",draughtsman
Amedeo Modigliani,",",painter
Amedeo Modigliani,",",sculptor
Amrita Sher-Gil,",",painter
Andy Warhol,",",sculptor
Andy Warhol,",",painter
Andy Warhol,",",photography
Andy Warhol,",",printmaker
Andy Warhol,",",film
Antoni Tàpies,",",sculptor
Antoni Tàpies,",",painter
Arpita Singh,",",watercolourist
Arpita Singh,",",painter-oil
Brett Whiteley,",",painter
Christian Krohg,",",painter
Christian Krohg,",",illustrator
Constantin Brancusi,",",painter
Constantin Brancusi,",",sculptor
Constantin Brancusi,",",photography
Damien Hirst,",",painter
Damien Hirst,",",sculptor
David Alfaro Siqueiros,",",painter
David Alfaro Siqueiros,",",muralist
Diego Rivera,",",painter
Diego Rivera,",",muralist
Diego Velázquez,",",painter
Donatello,",",sculptor
Edgar Degas,",",painter-oil
Edgar Degas,",",sculptor
Edgar Degas,",",draughtsman
Édouard Manet,",",painter
Édouard Manet,",",printmaker
Edvard Munch,",",painter
Egon Schiele,",",painter
Egon Schiele,",",printmaker
Egon Schiele,",",draughtsman
El Greco,",",painter
El Greco,",",sculptor
El Greco,",",architect
Emil Nolde,",",watercolourist
Emil Nolde,",",printmaker
Erich Heckel,",",painter
Erich Heckel,",",printmaker
Francis Bacon,",",painter
Frida Kahlo,",",painter-oil
Georges Seurat,",",painter-oil
Giorgio de Chirico,",",sculptor
Giorgio de Chirico,",",painter-oil
Giorgio de Chirico,",",draughtsman
Gustav Klimt,",",painter-oil
Gustav Klimt,",",muralist
Gustav Klimt,",",watercolourist
Henri de Toulouse-Lautrec,",",painter
Henri de Toulouse-Lautrec,",",printmaker
Henri de Toulouse-Lautrec,",",illustrator
Henri de Toulouse-Lautrec,",",draughtsman
Henri Émile Benoît Matisse,",",painter
Henri Émile Benoît Matisse,",",printmaker
Henri Émile Benoît Matisse,",",sculptor
Henri Émile Benoît Matisse,",",draughtsman
J.M.W Turner,",",painter-oil
J.M.W Turner,",",watercolourist
J.M.W Turner,",",printmaker
Jasper Johns,",",painter
Jasper Johns,",",sculptor
Jasper Johns,",",printmaker
Jean Dubuffet,",",painter
Jean Dubuffet,",",sculptor
Jean-Antoine Watteau,",",painter
Jean-Antoine Watteau,",",draughtsman
Jeong Seon,",",painter
Jeong Seon,",",ink
Jeong Seon,",",watercolourist
Jeong Seon,",",draughtsman
Joan Miró,",",painter
Joan Miró,",",sculptor
Joan Miró,",",muralist
Joan Miró,",",ceramicist
Johannes Vermeer,",",painter
John Baldessari,",",painter
John Baldessari,",",printmaker
John Baldessari,",",film
John Baldessari,",",photography
John Baldessari,",",sculptor
John Olsen,",",painter
John Singleton Copley,",",painter
John Smibert,",",painter
Julian Schnabel,",",painter
Julian Schnabel,",",film
Katsushika Hokusai,",",painter
Katsushika Hokusai,",",printmaker
Kitagawa Utamaro,",",painter
Kitagawa Utamaro,",",printmaker
Leonardo da Vinci,",",painter
Leonardo da Vinci,",",draughtsman
Leonardo da Vinci,",",sculptor
Leonardo da Vinci,",",architect
Lorenzo Ghiberti,",",sculptor
Marcel Duchamp,",",painter
Marcel Duchamp,",",sculptor
Marcel Duchamp,",",film
Margaret Rose Preston,",",painter
Margaret Rose Preston,",",printmaker
Mary Stevenson Cassatt,",",painter
Mary Stevenson Cassatt,",",printmaker
Max Beckmann,",",painter
Max Beckmann,",",sculptor
Max Beckmann,",",printmaker
Max Beckmann,",",draughtsman
Max Ernst,",",painter-oil
Max Ernst,",",sculptor
Max Ernst,",",printmaker
Max Jacob,",",painter
Mi Fu,",",painter
Mi Fu,",",calligrapher
Michelangelo,",",painter
Michelangelo,",",sculptor
Michelangelo,",",architect
Oscar-Claude Monet,",",painter
Oskar Kokoschka,",",painter
Oskar Kokoschka,",",printmaker
Pablo Picasso,",",painter
Pablo Picasso,",",draughtsman
Pablo Picasso,",",sculptor
Pablo Picasso,",",printmaker
Pablo Picasso,",",ceramicist
Paul Cezanne,",",painter
Paul Gauguin,",",painter
Paul Gauguin,",",sculptor
Paul Gauguin,",",ceramicist
Paul Gauguin,",",engraving
Paul Klee,",",painter
Paul Klee,",",draughtsman
Paul Klee,",",watercolourist
Paul Klee,",",printmaker
Peter Pelham,",",painter
Peter Pelham,",",engraving
Pierre-Auguste Renoir,",",painter
Raphael(Raffaello Sanzio da Urbino),",",painter
Raphael(Raffaello Sanzio da Urbino),",",architect
Rembrandt van Rijn,",",painter
Rembrandt van Rijn,",",printmaker
Rembrandt van Rijn,",",draughtsman
René François Ghislain Magritte,",",painter
S. H. Raza,",",painter
Salvador Dali,",",painter
Salvador Dali,",",draughtsman
Salvador Dali,",",photography
Salvador Dali,",",sculptor
Salvador Dali,",",film
Satish Gujral,",",sculptor
Satish Gujral,",",muralist
Satish Gujral,",",painter
Shen Zhou,",",painter
Titian(Tiziano Vecelli),",",painter
Tyeb Mehta,",",painter
Utagawa Hiroshige,",",painter
Utagawa Hiroshige,",",printmaker
Vincent Willem van Gogh,",",painter
Vincent Willem van Gogh,",",draughtsman
Wang Hui,",",painter
Wang Shimin,",",painter
Wassily Kandinsky,",",painter
Wen Zhengming,",",painter
Wen Zhengming,",",calligrapher
Xia Chang,",",painter
Xia Chang,",",ink
