Artist Name ,Date (year),"City, Country",Continent (to be deleted),Note: duplicate rows if died at the same place
Alberto Giacometti,1901,"Saint Moritz, Switzerland",,
Alberto Giacometti,1966,"Chur, Switzerland",,
Amrita Sher-Gil,1913,"Budapest, Hungary",,
Amrita Sher-Gil,1941,"Lahore, Pakistan",,
Andy Warhol,1928,"Pittsburgh, United States",,
Andy Warhol,1987,"New York, United States",,
Antoni Tàpies,1923,"Barcelona, Spain",,
Antoni Tàpies,2012,"Barcelona, Spain",,
Arpita Singh,1937,"Barangar, India",,
Brett Whiteley,1939,"Sydney, Australia",,
Brett Whiteley,1992,"Thirroul, Australia",,
Christian Krohg,1852,"Oslo, Norway",,
Christian Krohg,1925,"Oslo, Norway",,
Constantin Brancusi,1857,"Paris, France",,
Constantin Brancusi,1876,"Hobita, Romania",,
Damien Hirst,1965,"Bristol, United Kingdom",,
David Alfaro Siqueiros,1896,"Camargo, Mexico",,
David Alfaro Siqueiros,1974,"Cuernavaca, Mexico",,
Diego Rivera,1886,"Guanajuato, Mexico",,
Diego Rivera,1957,"Mexico City, Mexico",,
Diego Velázquez,1599,"Seville, Spain",,
Diego Velázquez,1660,"Madrid, Spain",,
Donatello,1386,"Florence, Italy",,
Donatello,1466,"Florence, Italy",,
Edgar Degas,1834,"Paris, France",,
Edgar Degas,1917,"Paris, France",,
Édouard Manet,1832,"Paris, France",,
Édouard Manet,1883,"Paris, France",,
Edvard Munch,1863,"Adalsbruk, Norway",,
Edvard Munch,1944,"Oslo, Norway",,
Egon Schiele,1890,"Tulln, Austria",,
Egon Schiele,1918,"Vienna, Austria",,
El Greco,1541,"Heraklion, Greece",,
El Greco,1614,"Toledo, Spain",,
Emil Nolde,1867,"Schleswig, Germany",,
Emil Nolde,1956,"Neukirchen, Germany",,
Erich Heckel,1883,"Döbeln, Germany",,
Erich Heckel,1970,"Radolfzell, Germany",,
Francis Bacon,1909,"Dublin, Ireland",,
Francis Bacon,1992,"Madrid, Spain",,
Frida Kahlo,1907,"Mexico City, Mexico",,
Frida Kahlo,1954,"Mexico City, Mexico",,
Georges Seurat,1859,"Paris, France",,
Georges Seurat,1891,"Paris, France",,
Lorenzo Ghiberti,1378,"Pelago, Italy",,
Lorenzo Ghiberti,1455,"Florence, Italy",,
Giorgio de Chirico,1888,"Volos, Greece",,
Giorgio de Chirico,1978,"Rome, Italy",,
Gustav Klimt,1862,"Vienna, Austria",,
Gustav Klimt,1918,"Vienna, Austria",,
Henri de Toulouse-Lautrec,1864,"Albi, France",,
Henri de Toulouse-Lautrec,1901,"Bordeaux, France",,
Henri Émile Benoît Matisse,1869,"Lille, France",,
Henri Émile Benoît Matisse,1954,"Nice, France",,
J.M.W Turner,1775,"London, United Kingdom",,
J.M.W Turner,1851,"London, United Kingdom",,
Jasper Johns,1930,"Augusta, United States",,
Jean Dubuffet,1901,"Rouen, France",,
Jean Dubuffet,1985,"Paris, France",,
Jean-Antoine Watteau,1684,"Valenciennes, France",,
Jean-Antoine Watteau,1721,"Paris, France",,
Jeong Seon,1676,"Seoul, South Korea",very influencial in korean artists,
Jeong Seon,1759,"Seoul, South Korea",,
John Baldessari,1931,"National City, United States",,
John Baldessari,2020,"Los Angeles, United States",,
John Olsen,1928,"Newcastle, Australia",,
John Singleton Copley,1738,"Boston, United States",,
John Singleton Copley,1815,"London, United Kingdom",,
John Smibert,1688,"Edinburgh, United Kingdom",,
John Smibert,1751,"Boston, United States",,
Julian Schnabel,1951,"New York, United States",,
Katsushika Hokusai,1760,"Tokyo, Japan",,
Katsushika Hokusai,1849,"Tokyo, Japan",,
Kitagawa Utamaro,1753,"Tokyo, Japan",,
Kitagawa Utamaro,1806,"Tokyo, Japan",,
Leonardo da Vinci,1452,"Florence, Italy",,
Leonardo da Vinci,1519,"Tours, France",,
Marcel Duchamp,1887,"Rouen, France",,
Marcel Duchamp,1968,"Paris, France",,
Margaret Rose Preston,1875,"Port Adelaide, Australia",,
Margaret Rose Preston,1963,"Mosman, Australia",,
Mary Stevenson Cassatt,1844,"Pittsburgh, United States",,
Mary Stevenson Cassatt,1926,"Paris, France",,
Max Beckmann,1884,"Leipzig, Germany",,
Max Beckmann,1950,"New York, United States",,
Max Ernst,1891,"Brühl, Germany",,
Max Ernst,1976,"Paris, France",,
Max Jacob,1876,"Quimper, France",,
Max Jacob,1944,"Paris, France",,
Mi Fu,1051,"Taiyuan, China",,
Mi Fu,1107,"Wuhan, China",,
Michelangelo,1475,"Arezzo, Italy",,
Michelangelo,1564,"Rome, Italy",,
Joan Miró,1893,"Barcelona, Spain",,
Joan Miró,1983,"Palma, Spain",,
Amedeo Modigliani,1884,"Livorno, Italty",,
Amedeo Modigliani,1920,"Saint-Étienne, France",,
Oscar-Claude Monet,1840,"Paris, France",,
Oscar-Claude Monet,1840,"Paris, France",,
Oscar-Claude Monet,1926,"Giverny, France",,
Oscar-Claude Monet,1926,"Rouen, France",,
Oskar Kokoschka,1886,"Pöchlarn, Austria",,
Oskar Kokoschka,1980,"Montreux, Switzerland",,
Pablo Picasso,1881,"Málaga, Spain",,
Pablo Picasso,1973,"Marseille, France",,
Paul Cezanne,1839,"Marseille, France",,
Paul Cezanne,1906,"Marseille, France",,
Paul Gauguin,1848,"Paris, France",,
Paul Gauguin,1903,"Taiohae, France",,
Paul Klee,1879,"Bern, Switzerland",,
Paul Klee,1940,"Locarno, Switzerland",,
Peter Pelham,1695,"London, United Kingdom",,
Peter Pelham,1751,"Boston, United States",,
Raphael,1483,"Urbino, Italy",,
Raphael,1520,"Rome, Italy",,
Rembrandt van Rijn,1606,"Leiden, Netherlands",,
Rembrandt van Rijn,1669,"Amsterdam, Netherlands",,
René François Ghislain Magritte,1898,"Lessines, Belgium",,
René François Ghislain Magritte,1967,"Brussels, Belgium",,
Pierre-Auguste Renoir,1841,"Limoges, France",,
Pierre-Auguste Renoir,1919,"Cagnes-sur-Mer, France",,
S. H. Raza,1922,"Mandla, India",,
S. H. Raza,2016,"New Delhi, India",,
Salvador Dali,1904,"Figueres, Spain",,
Salvador Dali,1989,"Figueres, Spain",,
Satish Gujral,1925,"Jhelum, Pakistan",,
Satish Gujral,2020,"New Delhi, India",,
Shen Zhou,1427,"Xiangcheng, China",,
Shen Zhou,1509,"Xiangcheng, China",,
The Impressionists,1800,"New York, United States",,
Titian,1489,"Venice, Italy",,
Titian,1576,"Venice, Italy",,
Tyeb Mehta,1925,"Kapadvanj, India",,
Tyeb Mehta,2009,"Mumbai, India",,
Utagawa Hiroshige,1797,"Tokyo, Japan",,
Utagawa Hiroshige,1858,"Tokyo, Japan",,
Johannes Vermeer,1632,"Delft, Netherlands",,
Johannes Vermeer,1675,"Delft, Netherlands",,
Vincent Willem van Gogh,1853,"Zundert, Netherlands",,
Vincent Willem van Gogh,1890,"Paris, France",,
Wang Hui,1632,"Changshu, China",,
Wang Hui,1717,"Changshu, China",,
Wang Shimin,1592,"Taicang, China",,
Wang Shimin,1680,"Taicang, China",,
Wassily Kandinsky,1866,"Moscow, Russia",,
Wassily Kandinsky,1944,"Paris, France",,
Wen Zhengming,1470,"Suzhou, China",,
Wen Zhengming,1559,"Suzhou, China",,
Xia Chang,1388,"Kunshan, China",,
Xia Chang,1470,"Beijing, China",,
